ts	phase	decision	why	evidence	result
2026-09-15T17:57:37.564Z	frame	Treat the ask as a strict content-parity invariant, not a one-time cleanup: ported tree == apply(declared Cursor→Pi bindings, upstream pstack@c1c0a32)	Upstream pstack is actively developed; a hand-fixed port drifts on the next release. A declared binding table plus a checker makes parity a standing, falsifiable property.	port/README.md, port/upstream.json	Invariant defined; harness built before touching ported files
2026-09-15T17:57:37.564Z	build	Regenerate all 47 divergent files through bindings; drop surplus Pi commentary rather than keep it as 'bindings'	A binding may only substitute a Cursor mechanism. Pi-only guidance is surplus and reverts to upstream; the checker proves every remaining byte came from upstream + the table.	port/bindings.mjs (112 rules), npm run parity:check	104 identical, 47 bound, 2 guarded overrides, 0 drift, 0 loose, 112/112 rules fire
2026-09-15T17:57:37.564Z	build	Keep make-bot-ui and setup-pstack as declared overrides with pinned upstream content, not rule chains	Both files are wholly a Cursor mechanism (Grok Bot routines; always-applied .mdc rule). A rule chain would encode nearly every line; the guard pins their non-mechanism sections verbatim instead.	port/bindings.mjs overrides, npm run parity:check override guards	Overrides guarded; Tailscale/server sections byte-pinned
2026-09-15T18:04:15.203Z	verify	Accepted verifier findings: byte-safe checker, extras gate, benny host bindings, make-bot-ui 200 line, tightened readonly bindings, arena rule removed	Each accepted finding breaks either the invariant's proof or the Pi twin's executability. Dismissed only the bugbot-author detector: Cursor Bugbot is a GitHub-side app, so the watcher correctly detects it on any PR.	bg-1-mu2z637r adversarial report; fix delegated to bg-5-mu2zdyqj	Fixes in flight; checker gaps were real (utf8 decode, extras exit 0, substring-only override guard documented honestly)
2026-09-15T18:04:15.203Z	verify	Fix session-readonly auto-arm to trigger on the investigation playbook id, not an 'investigat' substring of assembled text	The heuristic matched unrelated text and removed parent tools mid-run. The intended trigger is an explicit or matched investigation playbook, which already has its own path.	session entry pstack-session-readonly reason=skill:investigation at 18:02:02 while matched playbook was opening-a-pr; bash/write/edit stripped mid-task	Root cause identified; fix queued behind the parity commit
2026-09-15T18:20:16.916Z	verify	Closed adversarial findings; byte-safe checker, extras gate, benny host bindings, make-bot-ui 200 line, readonly auto-arm precise	Each fix makes the invariant stronger or the Pi twin executable. Verification against the artifact (byte-level tests, fresh clone) is what caught the gaps, not the checker's own report.	commit 82cda28; verifier bg-8-mu2zr90u PASS (binary drift caught+refused, undeclared extra fails, 0 Cursor host mechanisms left, 103/48/2 counts reproduced)	All round-1 findings closed; independent re-derivation matches the checker
2026-09-15T18:20:16.916Z	fix	Cap playbook auto-arm at 400 chars, gate child sessions on PSTACK_CHILD_ROLE, require explicit playbook target	The old substring test fired on the poteto skill body and on briefs, removing bash/write/edit mid-task. The root fix is a precise trigger plus a structural child gate.	commit a104461; tests PASS including new auto-arm cases; pushed c773464..a104461 to origin/master	Session readonly can no longer strip tools from a child or from a long brief
2026-09-15T18:21:21.567Z	verify	Classify extensionless and .lock files by content, not extension, in the port checker	A future upstream edit to those files would have reported BINARY DRIFT and blocked sync instead of binding them. Fail-closed was safe but a trap for the maintainer.	commit 498b6bf; bun.lock and watch-pr now verify as text; push a104461..498b6bf	Last residual from the round-1 verifier closed; counts unchanged at 103/48/2
2026-09-15T18:36:32.909Z	audit-fanout	Six parallel read-only audit agents (S1 subagents, S2 sticky/state, S3 loop/autonomous, S4 shipping/worktree, S5 models/command surface, S6 deps/benny) over disjoint surfaces; pinned upstream kept at c1c0a32 (v0.15.2)	Content parity was already byte-checked by port.mjs, so the unverified claim space was behavioral. Disjoint surfaces keep evidence pointers independent; a moving main cannot be a spec.	port/upstream.json commit=c1c0a32802223f4be824112dd83d33ad29a8b26c; jobs bg-3..bg-8	5 reports returned, S5 pending; consolidated into .pi/audit-findings.md by bg-11
2026-09-15T18:36:32.910Z	defect-sticky-provenance	Gate sticky playbook matching and readonly arming on InputEvent.source (interactive|rpc); extension-injected input must never re-enter the matcher	Pi re-fires input with source=extension for the extension's own sendUserMessage follow-up, so the handler matched its own injected text, overwrote the matched playbook and stripped write/edit/bash mid-task.	session jsonl 18:26:53.862 recorded matchedPlaybookId=investigation + pstack-session-readonly 20ms after a toolResult with 1 user message in session; probe: loadPotetoStickyBody() self-matches babysit/28; PR #1	fixed in PR #1 (2 commits, failing test first); harness repair in flight (bg-10)
2026-09-15T18:36:32.910Z	defect-alias-surface	Replace prompts/*.md aliases with generated extension commands per skill; drop the prompt-template mechanism	Measured: prompt-template output is plain text that is never re-processed, so /unslop MARKER delivered the literal string /skill:unslop (args dropped, no skill body loaded); extension sendUserMessage does expand /skill:<name>, proven by the poteto-mode force-invoke path.	pi -p --mode json --no-session --no-tools "/unslop MARKERUNSLOP" -> user text exactly "/skill:unslop"; "/skill:how WHYISMARKER two" -> wrapped skill body + args; 33/47 upstream commands had no alias	implemented on branch feat/alias-command-surface (bg-12)
2026-09-15T18:36:32.910Z	defect-spawn-isolation	Replace Date.now()-only child session-dir mint with a collision-free one (timestamp + unpredictable suffix), test-first with frozen Date.now	Parallel spawns in one message share a session dir, so --continue/continueRecent can attach the wrong child transcript; isolation guarantee was false under concurrent fan-out.	child-runner.ts:174; spawn replies gave sessionDir .../c-mu307jeu for both bg-5 and bg-6; that dir holds 2 jsonl files, all other c-* dirs hold 1	fix in flight on branch fix/spawn-sessiondir-collision (bg-13)
