id	surface	status	kind	name	obligation	verification	upstream	reference	finding	class
sessions-01	sessions	VERIFIED	tool	pstack_sessions	Execute list, grep, current, and recall actions over the local session corpus.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-01	mechanism:transcript-store	extensions/sessions/index.ts:191	-	ADAPTED-EQUIVALENT
sessions-02	sessions	VERIFIED	behavior	-	Include the undocumented PI_SESSION_DIR variable for local workflow overrides when building the corpus directory list.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-02	mechanism:transcript-store	extensions/sessions/index.ts:26	-	ADAPTED-EQUIVALENT
sessions-03	sessions	VERIFIED	behavior	-	Explore up to 4 directories deep to locate .json and .jsonl files during the session file walk.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-03	mechanism:transcript-store	extensions/sessions/index.ts:40	-	ADAPTED-EQUIVALENT
sessions-04	sessions	VERIFIED	behavior	-	Filter results to include only files modified within the requested days cutoff.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-04	mechanism:transcript-store	extensions/sessions/index.ts:55	-	ADAPTED-EQUIVALENT
sessions-05	sessions	VERIFIED	behavior	-	Bypass the mtime cutoff and resolve the active session via ctx.sessionManager or PI_SESSION_FILE for the current action.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-05	mechanism:transcript-store	extensions/sessions/index.ts:209	-	ADAPTED-EQUIVALENT
sessions-06	sessions	VERIFIED	behavior	-	Return up to limit hits by joining 3 matching lines and truncating them to 400 characters for the grep action.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-06	mechanism:transcript-store	extensions/sessions/index.ts:150	-	ADAPTED-EQUIVALENT
sessions-07	sessions	VERIFIED	behavior	-	The recall action must merge local sessions, git log, and gh PRs into one ranked result using only local sources.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-07	mechanism:transcript-store	extensions/sessions/recall-corpus.ts:10	#23	ADAPTED-EQUIVALENT
sessions-08	sessions	VERIFIED	behavior	-	Rank hits using a base score of 20 for sessions, 18 for gh, and 15 for git.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-08	mechanism:transcript-store	extensions/sessions/recall-rank.ts:30	-	ADAPTED-EQUIVALENT
sessions-09	sessions	VERIFIED	behavior	-	Award additional score for exact substrings and per query token longer than two characters in the recall algorithm.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-09	mechanism:transcript-store	extensions/sessions/recall-rank.ts:35	-	ADAPTED-EQUIVALENT
sessions-10	sessions	VERIFIED	behavior	-	Break score ties by source priority and then by title.	test@tests/layers/01-unit/sessions-contracts.test.ts@sessions-10	mechanism:transcript-store	extensions/sessions/recall-rank.ts:38	-	ADAPTED-EQUIVALENT
deslop-01	deslop	VERIFIED	tool	pstack_deslop	Scan diffs for slop patterns and return severity-ranked fix suggestions.	test@tests/layers/01-unit/deslop-contracts.test.ts@deslop-01	skills/poteto-mode/playbooks/opening-a-pr.md	extensions/companions/index.ts:220	-	EXACT-CONTRACT
