id	surface	status	kind	name	obligation	verification	upstream	reference	finding	class
spawn-01	spawn	VERIFIED	tool	pstack_spawn	Register a tool named pstack_spawn that spawns one isolated Pi child agent.	test@tests/layers/02-integration/extension-load.test.mjs@pstack tools are registered	mechanism:task	extensions/subagents/index.ts:363	-	ADAPTED-EQUIVALENT
spawn-02	spawn	VERIFIED	behavior	-	Require a non-empty task string as the only mandatory spawn parameter and reject calls that omit it.	test@tests/layers/01-unit/spawn-contracts.test.ts@spawn-02	mechanism:task	extensions/subagents/index.ts:301	-	ADAPTED-EQUIVALENT
spawn-03	spawn	VERIFIED	behavior	-	Default the child role to general and build a per-role prompt that wraps poteto-agent, comment-sicko, and investigator inputs while leaving other roles as the raw task.	test@tests/layers/01-unit/spawn-contracts.test.ts@spawn-03	mechanism:task	extensions/subagents/index.ts:68	-	ADAPTED-EQUIVALENT
spawn-04	spawn	VERIFIED	behavior	-	Accept an explicit model only as provider/id or inherit-parent/auto and refuse an unmapped bare marketing slug.	test@tests/layers/01-unit/spawn-contracts.test.ts@spawn-04	mechanism:task	extensions/models/config.ts:102	-	ADAPTED-EQUIVALENT
spawn-05	spawn	VERIFIED	behavior	-	Resolve an omitted model through the role model config and fall back to the parent model when the role has no configured value.	test@tests/layers/01-unit/spawn-contracts.test.ts@spawn-05	mechanism:task	extensions/subagents/index.ts:71	-	ADAPTED-EQUIVALENT
spawn-06	spawn	VERIFIED	behavior	-	Resolve the child tool allowlist in the order explicit tools, readonly or auto-readonly role, then inherited parent tools, else full discovery.	test@tests/layers/01-unit/child-runner-units.test.ts@resolveTools follows explicit, readonly, auto-readonly, and inherit order	mechanism:task	extensions/subagents/child-runner.ts:568	-	ADAPTED-EQUIVALENT
spawn-07	spawn	VERIFIED	behavior	-	Treat an explicit background as decisive, and an omitted background as detached only for the poteto-agent role or an explicit poteto flag; every other role is synchronous by default.	test@tests/layers/01-unit/child-runner-units.test.ts@only poteto-agent detaches by default	mechanism:task	extensions/subagents/child-runner.ts:563	-	ADAPTED-EQUIVALENT
spawn-08	spawn	VERIFIED	behavior	-	Persist full child output by default for background or five-minute-plus children and honor the explicit and PSTACK_PERSIST_OUTPUT overrides.	test@tests/layers/01-unit/child-runner-units.test.ts@shouldPersistOutput resolves explicit, env, and timeout defaults	mechanism:task	extensions/subagents/child-runner.ts:336	-	ADAPTED-EQUIVALENT
spawn-09	spawn	VERIFIED	behavior	-	Accept only isolated or ephemeral for sessionMode and default to isolated when unset or unrecognized.	test@tests/layers/01-unit/spawn-contracts.test.ts@spawn-09	mechanism:task	extensions/subagents/child-runner.ts:129	-	ADAPTED-EQUIVALENT
spawn-10	spawn	VERIFIED	behavior	-	Mint a fresh isolated session directory under the child cwd and reject resume combined with ephemeral.	test@tests/layers/01-unit/child-runner-units.test.ts@resolveChildSessionDir rejects resume plus ephemeral and mints isolated dirs	mechanism:task	extensions/subagents/child-runner.ts:145	-	ADAPTED-EQUIVALENT
spawn-11	spawn	VERIFIED	behavior	-	Fail closed when resumeSessionDir or resumeJobId names a missing target or a job without a recorded session directory.	test@tests/layers/01-unit/child-runner-units.test.ts@resolveResumeSessionDirParam fails closed on unknown and dir-less jobs	mechanism:task	extensions/subagents/child-runner.ts:584	-	ADAPTED-EQUIVALENT
spawn-12	spawn	VERIFIED	behavior	-	Bound timeoutMs to 1000..1800000 at the parameter boundary and default it to 600000 milliseconds.	test@tests/layers/01-unit/spawn-contracts.test.ts@spawn-12	mechanism:task	extensions/subagents/index.ts:357	-	ADAPTED-EQUIVALENT
spawn-13	spawn	VERIFIED	behavior	-	Build the child argv in json mode with --model, a session flag, --continue only when resuming, and the prompt last.	test@tests/layers/01-unit/child-runner-units.test.ts@buildChildPiArgs marks resume with continue and leaves fresh isolated without it	mechanism:task	extensions/subagents/child-runner.ts:216	-	ADAPTED-EQUIVALENT
